time_slot,vehicle_type,Origin,Destination,volume
7.10-7.14,car,12,1,8
7.10-7.14,car,1,12,8
7.10-7.14,car,12,2,4
7.10-7.14,car,2,12,4
7.10-7.14,car,12,4,4
7.10-7.14,car,4,12,4
7.10-7.14,car,12,5,7
7.10-7.14,car,5,12,7
7.10-7.14,car,12,18,6
7.10-7.14,car,18,12,6
7.10-7.14,car,13,1,4
7.10-7.14,car,1,13,4
7.10-7.14,car,13,2,6
7.10-7.14,car,2,13,6
7.10-7.14,car,13,4,8
7.10-7.14,car,4,13,8
7.10-7.14,car,13,5,8
7.10-7.14,car,5,13,8
7.10-7.14,car,13,18,3
7.10-7.14,car,18,13,3
7.10-7.14,car,24,1,8
7.10-7.14,car,1,24,8
7.10-7.14,car,24,2,7
7.10-7.14,car,2,24,7
7.10-7.14,car,24,4,4
7.10-7.14,car,4,24,4
7.10-7.14,car,24,5,7
7.10-7.14,car,5,24,7
7.10-7.14,car,24,18,3
7.10-7.14,car,18,24,3
7.10-7.14,car,21,1,8
7.10-7.14,car,1,21,8
7.10-7.14,car,21,2,3
7.10-7.14,car,2,21,3
7.10-7.14,car,21,4,5
7.10-7.14,car,4,21,5
7.10-7.14,car,21,5,3
7.10-7.14,car,5,21,3
7.10-7.14,car,21,18,3
7.10-7.14,car,18,21,3
7.10-7.14,car,20,1,4
7.10-7.14,car,1,20,4
7.10-7.14,car,20,2,4
7.10-7.14,car,2,20,4
7.10-7.14,car,20,4,7
7.10-7.14,car,4,20,7
7.10-7.14,car,20,5,4
7.10-7.14,car,5,20,4
7.10-7.14,car,20,18,3
7.10-7.14,car,18,20,3
7.10-7.14,bus,12,1,1
7.10-7.14,bus,1,12,1
7.10-7.14,bus,12,2,1
7.10-7.14,bus,2,12,1
7.10-7.14,bus,12,4,1
7.10-7.14,bus,4,12,1
7.10-7.14,bus,12,5,2
7.10-7.14,bus,5,12,2
7.10-7.14,bus,12,18,2
7.10-7.14,bus,18,12,2
7.10-7.14,bus,13,1,1
7.10-7.14,bus,1,13,1
7.10-7.14,bus,13,2,2
7.10-7.14,bus,2,13,2
7.10-7.14,bus,13,4,1
7.10-7.14,bus,4,13,1
7.10-7.14,bus,13,5,1
7.10-7.14,bus,5,13,1
7.10-7.14,bus,13,18,1
7.10-7.14,bus,18,13,1
7.10-7.14,bus,24,1,2
7.10-7.14,bus,1,24,2
7.10-7.14,bus,24,2,1
7.10-7.14,bus,2,24,1
7.10-7.14,bus,24,4,1
7.10-7.14,bus,4,24,1
7.10-7.14,bus,24,5,2
7.10-7.14,bus,5,24,2
7.10-7.14,bus,24,18,1
7.10-7.14,bus,18,24,1
7.10-7.14,bus,21,1,2
7.10-7.14,bus,1,21,2
7.10-7.14,bus,21,2,2
7.10-7.14,bus,2,21,2
7.10-7.14,bus,21,4,1
7.10-7.14,bus,4,21,1
7.10-7.14,bus,21,5,2
7.10-7.14,bus,5,21,2
7.10-7.14,bus,21,18,2
7.10-7.14,bus,18,21,2
7.10-7.14,bus,20,1,2
7.10-7.14,bus,1,20,2
7.10-7.14,bus,20,2,1
7.10-7.14,bus,2,20,1
7.10-7.14,bus,20,4,1
7.10-7.14,bus,4,20,1
7.10-7.14,bus,20,5,2
7.10-7.14,bus,5,20,2
7.10-7.14,bus,20,18,2
7.10-7.14,bus,18,20,2
